Year,Week,Date,Away_Team,Away_Score,Away_First_Downs,Away_Rushing_Yards,Away_Passing_Yards,Away_Turnovers,Home_Team,Home_Score,Home_First_Downs,Home_Rushing_Yards,Home_Passing_Yards,Home_Turnovers,Favored_Team,Vegas_Line
2002,1,5-Sep-02,31,16,13,113,166,1,24,13,21,43,318,3,31,-4
2002,1,8-Sep-02,23,28,18,104,203,2,3,25,19,118,225,2,23,-3.5
2002,1,8-Sep-02,7,34,22,180,194,1,2,37,29,211,273,1,2,-7
2002,1,8-Sep-02,17,40,24,194,276,1,12,39,24,59,352,1,12,-2
2002,1,8-Sep-02,16,34,27,241,160,0,14,6,13,36,167,1,14,-3
2002,1,8-Sep-02,5,7,15,77,212,1,0,10,15,145,120,0,-1,0
2002,1,8-Sep-02,18,23,19,140,228,3,10,27,20,80,288,2,10,-4.5
2002,1,8-Sep-02,22,21,15,51,206,2,20,49,27,182,207,0,20,-9.5
2002,1,8-Sep-02,15,37,18,73,193,1,4,31,26,142,242,3,15,-3
2002,1,8-Sep-02,27,23,14,70,187,1,29,31,21,122,320,1,29,-6
2002,1,8-Sep-02,13,24,17,80,181,3,19,27,22,61,267,4,19,-2
2002,1,8-Sep-02,9,26,21,118,250,1,6,20,19,72,261,1,6,-6
2002,1,8-Sep-02,21,17,14,43,143,0,8,31,27,221,202,2,8,-7.5
2002,1,8-Sep-02,30,16,15,32,295,2,1,23,18,104,187,2,30,-3
2002,1,8-Sep-02,25,10,11,155,112,2,11,19,13,87,123,1,25,-8.5
2002,1,9-Sep-02,28,14,20,74,209,5,26,30,20,63,280,1,28,-2.5
2002,2,15-Sep-02,20,21,17,163,179,1,23,13,29,143,289,3,-1,0
2002,2,15-Sep-02,3,23,19,130,320,1,17,16,18,140,196,2,17,-3.5
2002,2,15-Sep-02,6,25,17,74,205,0,5,0,12,55,118,1,6,-4.5
2002,2,15-Sep-02,19,13,19,98,235,1,25,21,14,67,230,0,19,-3.5
2002,2,15-Sep-02,26,44,24,163,269,2,15,7,9,32,168,2,15,-1
2002,2,15-Sep-02,14,7,28,156,201,3,12,20,15,75,190,0,12,-3.5
2002,2,15-Sep-02,10,14,13,106,136,2,7,13,19,122,135,3,7,-2.5
2002,2,15-Sep-02,22,7,12,73,49,3,0,31,20,75,310,0,0,-3
2002,2,15-Sep-02,2,20,18,95,262,4,9,35,16,146,211,2,2,-2.5
2002,2,15-Sep-02,24,26,16,103,291,1,30,21,18,92,260,4,30,-12
2002,2,15-Sep-02,1,24,21,201,98,1,31,14,18,71,190,2,31,-3.5
2002,2,15-Sep-02,27,24,19,249,98,1,21,13,26,81,345,1,21,-4
2002,2,15-Sep-02,11,3,7,89,29,3,16,24,16,124,143,1,16,-13.5
2002,2,15-Sep-02,4,45,26,31,437,0,18,39,31,213,236,3,18,-3.5
2002,2,15-Sep-02,8,30,27,95,369,2,28,17,14,72,201,5,28,-4
2002,2,16-Sep-02,13,37,22,168,283,0,29,7,11,89,90,3,13,-3
2002,3,22-Sep-02,0,21,20,164,206,2,18,14,13,73,177,5,18,-6.5
2002,3,22-Sep-02,23,23,16,88,251,2,11,3,10,126,78,2,23,-10.5
2002,3,22-Sep-02,15,3,13,58,131,4,20,30,21,211,183,0,20,-6
2002,3,22-Sep-02,17,38,21,221,128,3,26,41,27,97,399,1,26,-8.5
2002,3,22-Sep-02,25,13,18,121,183,4,13,44,26,153,294,2,13,-10
2002,3,22-Sep-02,12,31,26,92,311,4,19,28,13,86,101,0,19,-4.5
2002,3,22-Sep-02,9,29,18,73,229,3,10,23,21,125,228,2,9,-2
2002,3,22-Sep-02,16,23,19,125,164,1,27,15,15,97,200,3,16,-2.5
2002,3,22-Sep-02,4,23,17,39,252,1,1,28,22,163,179,0,1,-7.5
